run,tower,component,hist_name,entries,mean,mean_err,sigma,sigma_err,constant,status
14127,T7,C,T7C_intADC_after,12380,31749.8,38.4572,3777.23,34.0271,7.54651e-05,OK
14127,T7,S,T7S_intADC_after,12380,62217.4,159.658,9973.68,117.874,3.85101e-05,OK
14128,T8,C,T8C_intADC_after,12530,32035.9,40.9243,3949.36,37.3348,7.4791e-05,OK
14128,T8,S,T8S_intADC_after,12530,73253.3,96.0178,8471.35,80.4471,3.27084e-05,OK
14129,T9,C,T9C_intADC_after,12425,30662.8,39.8475,3722.89,39.6171,7.81402e-05,OK
14129,T9,S,T9S_intADC_after,12425,73348.2,84.4392,7992.34,75.1621,3.26661e-05,OK
14130,T6,C,T6C_intADC_after,12365,26958.2,34.9374,3208.23,34.4207,8.88785e-05,OK
14130,T6,S,T6S_intADC_after,12365,68143.7,81.413,7788.68,73.177,3.5161e-05,OK
14131,T5,C,T5C_intADC_after,12230,20614.7,36.9389,3147.68,40.5698,0.000116228,OK
14131,T5,S,T5S_intADC_after,12230,43512,48.8264,4686.27,44.1931,5.50653e-05,OK
14132,T4,C,T4C_intADC_after,12410,30759.2,41.1781,3797.2,40.2878,7.78953e-05,OK
14132,T4,S,T4S_intADC_after,12410,69896.7,77.3308,7403.59,68.391,3.42791e-05,OK
14133,T1,C,T1C_intADC_after,12435,30938.9,41.8387,3986.06,37.6606,7.74429e-05,OK
14133,T1,S,T1S_intADC_after,12435,81190.7,133.33,12094,124.487,2.95108e-05,OK
14134,T2,C,T2C_intADC_after,12428,30852.7,46.6228,4288.7,45.4321,7.76594e-05,OK
14134,T2,S,T2S_intADC_after,12428,70878.3,117.055,9979.55,97.1854,3.38044e-05,OK
14135,T3,C,T3C_intADC_after,12344,29334.8,36.6676,3524.11,34.676,8.16777e-05,OK
14135,T3,S,T3S_intADC_after,12344,70143.9,92.7002,8374.73,86.689,3.41583e-05,OK
