beamE,component,nRuns,mean,meanErr,sigma,sigmaErr,linearity,linearityErr,resolution,resolutionErr
0.500000,C,3,0.423382,0.001297,0.148987,0.001514,0.846764,0.002594,0.351896,0.003734
1.000000,C,2,0.903947,0.001619,0.210479,0.001741,0.903947,0.001619,0.232844,0.001971
1.500000,C,2,1.369041,0.001708,0.262657,0.001895,0.912694,0.001138,0.191854,0.001405
2.000000,C,2,1.833395,0.001869,0.304556,0.001926,0.916698,0.000934,0.166116,0.001064
2.500000,C,1,2.292614,0.002493,0.351378,0.002536,0.917046,0.000997,0.153265,0.001118
3.000000,C,1,2.797642,0.002339,0.375622,0.002250,0.932547,0.000780,0.134264,0.000812
3.500000,C,1,3.270940,0.002456,0.395352,0.002479,0.934554,0.000702,0.120868,0.000763
4.000000,C,2,3.728535,0.002440,0.420902,0.002408,0.932134,0.000610,0.112887,0.000650
4.500000,C,1,4.205868,0.002675,0.440898,0.002659,0.934637,0.000594,0.104829,0.000636
5.000000,C,1,4.712818,0.002684,0.463668,0.002542,0.942564,0.000537,0.098385,0.000542
0.500000,S,3,0.423974,0.000927,0.092319,0.001098,0.847949,0.001854,0.217747,0.002634
1.000000,S,2,0.890747,0.000866,0.127624,0.000822,0.890747,0.000866,0.143277,0.000933
1.500000,S,2,1.357202,0.000982,0.170412,0.000932,0.904801,0.000655,0.125561,0.000693
2.000000,S,2,1.806668,0.001179,0.205716,0.001156,0.903334,0.000590,0.113865,0.000644
2.500000,S,1,2.261444,0.001606,0.235606,0.001622,0.904578,0.000643,0.104184,0.000721
3.000000,S,1,2.799070,0.001553,0.252235,0.001356,0.933023,0.000518,0.090114,0.000487
3.500000,S,1,3.294626,0.001546,0.272258,0.001295,0.941322,0.000442,0.082637,0.000395
4.000000,S,2,3.775276,0.001643,0.291983,0.001462,0.943819,0.000411,0.077341,0.000389
4.500000,S,1,4.195910,0.001808,0.307200,0.001635,0.932424,0.000402,0.073214,0.000391
5.000000,S,1,4.729358,0.001946,0.334780,0.001656,0.945872,0.000389,0.070788,0.000351
0.500000,Sum,3,0.430058,0.000945,0.095803,0.001224,0.860116,0.001891,0.222768,0.002887
1.000000,Sum,2,0.905289,0.001032,0.136125,0.000992,0.905289,0.001032,0.150366,0.001109
1.500000,Sum,2,1.372128,0.000997,0.171368,0.000950,0.914752,0.000665,0.124892,0.000698
2.000000,Sum,2,1.829691,0.001182,0.207035,0.001159,0.914845,0.000591,0.113153,0.000638
2.500000,Sum,1,2.290106,0.001510,0.239930,0.001290,0.916042,0.000604,0.104768,0.000567
3.000000,Sum,1,2.805891,0.001508,0.249424,0.001339,0.935297,0.000503,0.088893,0.000479
3.500000,Sum,1,3.286705,0.001521,0.257380,0.001390,0.939059,0.000435,0.078309,0.000425
4.000000,Sum,2,3.761090,0.001525,0.276226,0.001330,0.940273,0.000381,0.073443,0.000355
4.500000,Sum,1,4.211230,0.001660,0.290419,0.001466,0.935829,0.000369,0.068963,0.000349
5.000000,Sum,1,4.730755,0.001719,0.311822,0.001436,0.946151,0.000344,0.065914,0.000304
