beamE,run,component,mean,meanErr,sigma,sigmaErr,linearity,linearityErr,resolution,resolutionErr,status
3.000000,14222,C,2.797642,0.002339,0.375622,0.002250,0.932547,0.000780,0.134264,0.000812,OK
3.000000,14222,S,2.799070,0.001553,0.252235,0.001356,0.933023,0.000518,0.090114,0.000487,OK
3.000000,14222,Sum,2.805891,0.001508,0.249424,0.001339,0.935297,0.000503,0.088893,0.000479,OK
3.500000,14223,C,3.270940,0.002456,0.395352,0.002479,0.934554,0.000702,0.120868,0.000763,OK
3.500000,14223,S,3.294626,0.001546,0.272258,0.001295,0.941322,0.000442,0.082637,0.000395,OK
3.500000,14223,Sum,3.286705,0.001521,0.257380,0.001390,0.939059,0.000435,0.078309,0.000425,OK
4.000000,14224,C,3.731713,0.002672,0.421349,0.002632,0.932928,0.000668,0.112910,0.000710,OK
4.000000,14224,S,3.779280,0.001802,0.292164,0.001604,0.944820,0.000450,0.077307,0.000426,OK
4.000000,14224,Sum,3.765385,0.001663,0.276807,0.001461,0.941346,0.000416,0.073513,0.000389,OK
4.000000,14226,C,3.712558,0.005991,0.418604,0.005967,0.928140,0.001498,0.112753,0.001618,OK
4.000000,14226,S,3.755486,0.004006,0.291095,0.003547,0.938871,0.001002,0.077512,0.000948,OK
4.000000,14226,Sum,3.738370,0.003825,0.273426,0.003209,0.934593,0.000956,0.073140,0.000862,OK
1.500000,14227,C,1.370901,0.002478,0.265911,0.002764,0.913934,0.001652,0.193968,0.002046,OK
1.500000,14227,S,1.371561,0.001431,0.172467,0.001371,0.914374,0.000954,0.125745,0.001008,OK
1.500000,14227,Sum,1.379241,0.001441,0.172404,0.001369,0.919494,0.000960,0.124999,0.001001,OK
2.000000,14228,C,1.828539,0.002693,0.300877,0.002657,0.914270,0.001346,0.164545,0.001473,OK
2.000000,14228,S,1.825342,0.001590,0.211218,0.001483,0.912671,0.000795,0.115714,0.000818,OK
2.000000,14228,Sum,1.838213,0.001560,0.208389,0.001419,0.919106,0.000780,0.113365,0.000778,OK
